avg_visitors,visitor_change,avg_computers,computer_growth,avg_data,is_attack
96.8,41,49.2,-8,484000.0,0
95.73333333333333,41,49.1,-6,478666.6666666667,0
95.6,41,49.06666666666667,7,478000.0,0
96.26666666666667,41,49.4,1,481333.3333333333,0
95.53333333333333,38,49.0,-14,477666.6666666667,0
95.53333333333333,38,49.06666666666667,7,477666.6666666667,0
95.53333333333333,38,49.266666666666666,3,477666.6666666667,0
95.76666666666667,38,48.86666666666667,-17,478833.3333333333,0
94.96666666666667,38,48.833333333333336,2,474833.3333333333,0
94.46666666666667,38,48.333333333333336,-16,472333.3333333333,0
95.03333333333333,38,47.766666666666666,-3,475166.6666666667,0
95.13333333333334,38,48.13333333333333,1,475666.6666666667,0
95.23333333333333,38,48.13333333333333,8,476166.6666666667,0
94.96666666666667,38,48.13333333333333,0,474833.3333333333,0
95.8,37,48.13333333333333,1,479000.0,0
96.33333333333333,37,48.5,12,481666.6666666667,0
96.8,37,48.733333333333334,2,484000.0,0
97.46666666666667,37,48.63333333333333,1,487333.3333333333,0
97.06666666666666,37,48.96666666666667,5,485333.3333333333,0
96.76666666666667,37,48.666666666666664,-3,483833.3333333333,0
97.0,37,48.93333333333333,11,485000.0,0
96.96666666666667,37,49.4,4,484833.3333333333,0
96.86666666666666,37,49.56666666666667,-2,484333.3333333333,0
96.56666666666666,37,49.233333333333334,5,482833.3333333333,0
96.36666666666666,37,49.3,-10,481833.3333333333,0
96.33333333333333,37,49.166666666666664,-6,481666.6666666667,0
96.5,37,48.9,8,482500.0,0
96.83333333333333,37,49.0,-9,484166.6666666667,0
98.06666666666666,34,48.766666666666666,-6,490333.3333333333,0
98.76666666666667,36,48.4,-2,493833.3333333333,0
98.93333333333334,36,48.53333333333333,-1,494666.6666666667,0
99.6,36,48.5,-6,498000.0,0
100.16666666666667,36,48.6,0,500833.3333333333,0
99.5,36,48.3,4,497500.0,0
99.1,36,48.233333333333334,-18,495500.0,0
99.7,36,48.233333333333334,1,498500.0,0
100.0,36,48.166666666666664,13,500000.0,0
99.6,36,48.4,-9,498000.0,0
99.7,33,48.166666666666664,10,498500.0,0
100.0,33,48.4,8,500000.0,0
100.0,33,49.03333333333333,5,500000.0,0
100.0,33,48.7,-9,500000.0,0
100.4,33,48.5,2,502000.0,0
100.46666666666667,33,48.6,3,502333.3333333333,0
100.33333333333333,33,48.766666666666666,-5,501666.6666666667,0
100.3,33,48.266666666666666,-10,501500.0,0
99.53333333333333,33,48.43333333333333,10,497666.6666666667,0
99.8,33,48.5,-7,499000.0,0
100.16666666666667,33,48.233333333333334,6,500833.3333333333,0
100.7,33,48.3,-9,503500.0,0
100.36666666666666,33,48.53333333333333,4,501833.3333333333,0
100.06666666666666,33,48.266666666666666,-9,500333.3333333333,0
100.4,33,48.3,9,502000.0,0
100.33333333333333,33,48.3,3,501666.6666666667,0
101.66666666666667,44,48.63333333333333,4,508333.3333333333,0
101.93333333333334,44,48.86666666666667,9,509666.6666666667,0
101.5,44,48.733333333333334,1,507500.0,0
101.9,44,49.266666666666666,14,509500.0,0
101.7,44,49.2,3,508500.0,0
101.26666666666667,44,49.36666666666667,-1,506333.3333333333,0
101.43333333333334,44,49.3,-2,507166.6666666667,0
101.56666666666666,44,49.166666666666664,-13,507833.3333333333,0
101.3,44,49.3,13,506500.0,0
101.06666666666666,44,49.2,3,505333.3333333333,0
101.5,44,49.36666666666667,-13,507500.0,0
101.0,44,49.0,-8,505000.0,0
100.23333333333333,44,48.96666666666667,5,501166.6666666667,0
100.13333333333334,44,48.8,-7,500666.6666666667,0
100.83333333333333,40,48.63333333333333,-2,504166.6666666667,0
100.66666666666667,40,48.766666666666666,-7,503333.3333333333,0
101.0,40,48.63333333333333,11,505000.0,0
100.7,40,48.6,-4,503500.0,0
100.63333333333334,40,48.6,-1,503166.6666666667,0
100.4,40,48.5,-5,502000.0,0
100.66666666666667,40,48.666666666666664,15,503333.3333333333,0
100.53333333333333,40,48.7,-14,502666.6666666667,0
100.33333333333333,43,48.5,2,501666.6666666667,0
100.33333333333333,43,48.4,-2,501666.6666666667,0
99.9,43,48.6,10,499500.0,0
99.53333333333333,43,48.766666666666666,-11,497666.6666666667,0
99.86666666666666,43,48.266666666666666,-3,499333.3333333333,0
100.1,43,48.666666666666664,2,500500.0,0
100.46666666666667,43,48.2,-5,502333.3333333333,0
101.0,43,48.266666666666666,-5,505000.0,0
100.5,36,47.8,-17,502500.0,0
100.26666666666667,36,47.7,10,501333.3333333333,0
100.13333333333334,36,47.86666666666667,-10,500666.6666666667,0
100.06666666666666,36,47.233333333333334,-3,500333.3333333333,0
99.26666666666667,36,47.4,3,496333.3333333333,0
99.66666666666667,36,47.333333333333336,-1,498333.3333333333,0
99.83333333333333,36,47.5,7,499166.6666666667,0
100.0,36,47.8,-8,500000.0,0
100.33333333333333,36,47.43333333333333,5,501666.6666666667,0
100.4,36,47.7,6,502000.0,0
100.33333333333333,36,47.56666666666667,-6,501666.6666666667,0
100.56666666666666,36,47.36666666666667,-13,502833.3333333333,0
100.33333333333333,40,47.333333333333336,9,501666.6666666667,0
101.26666666666667,40,47.8,12,506333.3333333333,0
101.3,40,47.733333333333334,-8,506500.0,0
101.2,40,47.46666666666667,-11,506000.0,0
101.36666666666666,40,47.43333333333333,11,506833.3333333333,0
102.73333333333333,50,47.86666666666667,9,513666.6666666667,0
102.76666666666667,50,48.03333333333333,7,513833.3333333333,0
102.93333333333334,50,48.2,-5,514666.6666666667,0
102.23333333333333,50,48.3,17,511166.6666666667,0
102.36666666666666,50,48.86666666666667,9,511833.3333333333,0
103.1,50,48.63333333333333,-2,515500.0,0
103.46666666666667,50,48.53333333333333,-11,517333.3333333333,0
103.96666666666667,50,48.7,10,519833.3333333333,0
103.96666666666667,50,48.56666666666667,0,519833.3333333333,0
104.43333333333334,50,48.56666666666667,-15,522166.6666666667,0
103.56666666666666,56,48.1,2,517833.3333333333,0
102.9,56,48.166666666666664,-5,514500.0,0
102.46666666666667,56,48.333333333333336,14,512333.3333333333,0
